shelf_id,shelf_name,row,col,product_name,brand,sku,category,facings,unit_price_usd,planogram_notes,image_match_status,image_confidence,image_observation
SHELF-BEV-01,Beverages Soft Drinks,1,1,Coca-Cola cans - assorted variants,Coca-Cola,,Soda,12,,Image-derived correction; left-to-right visual block order.,corrected_from_image,high,Large Coca-Cola block at far left; multiple red/pink/white can variants visible.
SHELF-BEV-01,Beverages Soft Drinks,1,2,Schweppes cans - pink/red variant,Schweppes,,Mixers & Tonic,4,,Image-derived correction; left-to-right visual block order.,corrected_from_image,medium,Pink/red Schweppes-branded can block left-center; exact flavor unreadable.
SHELF-BEV-01,Beverages Soft Drinks,1,3,Unidentified blue/yellow canned mixer,Unknown,,Mixers & Tonic,10,,Image-derived correction; left-to-right visual block order.,corrected_from_image,low,Tall blue/yellow cans in center; brand/flavor not reliably legible.
SHELF-BEV-01,Beverages Soft Drinks,1,4,Dr Pepper cans - assorted variants,Dr Pepper,,Soda,8,,Image-derived correction; left-to-right visual block order.,corrected_from_image,high,Dr Pepper block center-right; standard and pink/red variants visible.
SHELF-BEV-01,Beverages Soft Drinks,1,5,Orange beverage glass bottles,Unknown,,Soft Drinks,5,,Image-derived correction; left-to-right visual block order.,corrected_from_image,low,Orange liquid in clear glass bottles; label not reliably legible.
SHELF-BEV-01,Beverages Soft Drinks,1,6,Dark beverage glass bottles,Unknown,,Soft Drinks,5,,Image-derived correction; left-to-right visual block order.,corrected_from_image,low,Dark liquid in clear glass bottles with white labels; brand not reliably legible.
SHELF-BEV-01,Beverages Soft Drinks,2,1,Fanta cans - assorted flavors,Fanta,,Soda,18,,Image-derived correction; left-to-right visual block order.,corrected_from_image,high,"Large Fanta block on left; orange, grape/purple, pink, blue/tropical and yellow variants visible."
SHELF-BEV-01,Beverages Soft Drinks,2,2,Fanta tall cans - assorted flavors,Fanta,,Soda,4,,Image-derived correction; left-to-right visual block order.,corrected_from_image,high,Tall Fanta cans immediately left of Sprite block.
SHELF-BEV-01,Beverages Soft Drinks,2,3,Schweppes tall cans - citrus variants,Schweppes,,Mixers & Tonic,4,,Image-derived correction; left-to-right visual block order.,corrected_from_image,medium,Blue/turquoise tall cans with yellow diagonal branding; exact variants unclear.
SHELF-BEV-01,Beverages Soft Drinks,2,4,Sprite cans,Sprite,,Soda,4,,Image-derived correction; left-to-right visual block order.,corrected_from_image,high,Green Sprite can block in center.
SHELF-BEV-01,Beverages Soft Drinks,2,5,Chupa Chups cans - assorted flavors,Chupa Chups,,Soda,10,,Image-derived correction; left-to-right visual block order.,corrected_from_image,high,Multiple Chupa Chups cans center-right; several fruit flavors visible.
SHELF-BEV-01,Beverages Soft Drinks,2,6,Pink/red glass lemonade bottles,Unknown,,Lemonade,8,,Image-derived correction; left-to-right visual block order.,corrected_from_image,medium,Pink/red glass bottle block at far right; labels too soft for reliable brand/variant extraction.
SHELF-BEV-01,Beverages Soft Drinks,3,1,Fanta Orange PET bottles,Fanta,,Soda,8,,Image-derived correction; left-to-right visual block order.,corrected_from_image,high,Orange Fanta PET bottle block at far left.
SHELF-BEV-01,Beverages Soft Drinks,3,2,Sprite PET bottles,Sprite,,Soda,10,,Image-derived correction; left-to-right visual block order.,corrected_from_image,high,Clear Sprite PET bottle block left-center.
SHELF-BEV-01,Beverages Soft Drinks,3,3,Pink-label cola/soft drink PET bottles,Unknown,,Soft Drinks,5,,Image-derived correction; left-to-right visual block order.,corrected_from_image,low,Dark liquid PET bottles with pink/yellow labels; exact brand unreadable.
SHELF-BEV-01,Beverages Soft Drinks,3,4,Schweppes dark mixer PET bottles,Schweppes,,Mixers & Tonic,4,,Image-derived correction; left-to-right visual block order.,corrected_from_image,medium,Dark-liquid PET bottles with green/yellow Schweppes-style labels.
SHELF-BEV-01,Beverages Soft Drinks,3,5,Schweppes clear tonic/lemon PET bottles,Schweppes,,Mixers & Tonic,3,,Image-derived correction; left-to-right visual block order.,corrected_from_image,high,Clear PET bottles with yellow Schweppes labels.
SHELF-BEV-01,Beverages Soft Drinks,3,6,Fentimans Rose Lemonade glass bottles,Fentimans,,Lemonade,6,,Image-derived correction; left-to-right visual block order.,corrected_from_image,high,Pink glass bottles at far right; Rose Lemonade text visible.
SHELF-BEV-01,Beverages Soft Drinks,4,1,Coca-Cola glass bottles - assorted variants,Coca-Cola,,Soda,6,,Image-derived correction; left-to-right visual block order.,corrected_from_image,high,Glass Coca-Cola bottles at far left; cream and pink labels indicate multiple variants.
SHELF-BEV-01,Beverages Soft Drinks,4,2,Sprite large PET bottles,Sprite,,Soda,4,,Image-derived correction; left-to-right visual block order.,corrected_from_image,high,Large clear PET bottles with green Sprite labels.
SHELF-BEV-01,Beverages Soft Drinks,4,3,Schweppes clear mixer bottles,Schweppes,,Mixers & Tonic,3,,Image-derived correction; left-to-right visual block order.,corrected_from_image,high,Large clear bottles with yellow Schweppes labels.
SHELF-BEV-01,Beverages Soft Drinks,4,4,Schweppes pink mixer bottles,Schweppes,,Mixers & Tonic,5,,Image-derived correction; left-to-right visual block order.,corrected_from_image,high,Large pink-liquid bottles with yellow Schweppes labels.
SHELF-BEV-01,Beverages Soft Drinks,4,5,Schweppes orange mixer bottles,Schweppes,,Mixers & Tonic,2,,Image-derived correction; left-to-right visual block order.,corrected_from_image,high,Large orange-liquid bottles with yellow Schweppes labels.
SHELF-BEV-01,Beverages Soft Drinks,4,6,O&C Craft clear bottled beverage,O&C Craft,,Craft Soft Drinks,4,,Image-derived correction; left-to-right visual block order.,corrected_from_image,medium,Clear glass bottles at far right with O&C CRAFT-style label; exact variant unreadable.
SHELF-DAIRY-01,Dairy & Milk Alternatives,1,1,DanActive Strawberry,Danone,DANACT-STR-93,Dairy & Yogurt,4,1.29,Small probiotic drinks top left,not_reviewed,,
SHELF-DAIRY-01,Dairy & Milk Alternatives,1,2,DanActive Blueberry,Danone,DANACT-BLU-93,Dairy & Yogurt,4,1.29,Blueberry probiotic drink,not_reviewed,,
SHELF-DAIRY-01,Dairy & Milk Alternatives,1,3,Yoplait Go-Gurt Strawberry,Yoplait,YOPLAIT-GOGURT-STR,Dairy & Yogurt,3,0.99,Kids yogurt tubes top shelf,not_reviewed,,
SHELF-DAIRY-01,Dairy & Milk Alternatives,1,4,Yoplait Go-Gurt Mixed Berry,Yoplait,YOPLAIT-GOGURT-MIX,Dairy & Yogurt,3,0.99,Mixed berry yogurt tubes,not_reviewed,,
SHELF-DAIRY-01,Dairy & Milk Alternatives,1,5,Horizon Organic Whole Milk,Horizon,HOR-WHOLE-32,Dairy & Milk,2,4.49,Organic white carton top right,not_reviewed,,
SHELF-DAIRY-01,Dairy & Milk Alternatives,1,6,Horizon Organic Milk,Horizon,HOR-2PCT-32,Dairy & Milk,2,4.29,Organic 2% milk carton,not_reviewed,,
SHELF-DAIRY-01,Dairy & Milk Alternatives,1,7,Almond Breeze Original,Blue Diamond,ALM-ORIG-32,Plant-Based Milk,2,3.99,Almond milk blue carton top right,not_reviewed,,
SHELF-DAIRY-01,Dairy & Milk Alternatives,1,8,Almond Breeze Vanilla,Blue Diamond,ALM-VAN-32,Plant-Based Milk,2,3.99,Vanilla almond milk carton,not_reviewed,,
SHELF-DAIRY-01,Dairy & Milk Alternatives,2,1,Silk Oat Milk Original,Silk,SILK-OAT-ORIG-52,Plant-Based Milk,2,4.99,Large Silk oat milk second shelf left,not_reviewed,,
SHELF-DAIRY-01,Dairy & Milk Alternatives,2,2,Silk Oat Milk Vanilla,Silk,SILK-OAT-VAN-52,Plant-Based Milk,2,4.99,Vanilla oat milk large,not_reviewed,,
